#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,9.427874,0.000000,0.042616,1.833394,1.166676,0.000221,12.089139
0.000000,0.000000,11.348767,0.000000,0.049286,4.199602,1.192704,0.000404,13.992426
0.000000,0.000000,9.178419,0.000000,0.033417,0.621518,1.987294,0.000367,11.936630
0.000000,0.000000,8.798645,0.000000,0.033127,0.813924,1.855872,0.000580,11.662586
0.000000,0.000000,25.920133,0.000000,0.033170,0.669019,2.127208,0.000504,59.126336
0.000000,0.000000,28.200557,0.000000,0.037084,0.508073,1.964291,0.000357,91.115141
0.000000,0.000000,18.974635,0.000000,0.032913,0.388866,1.926327,0.064149,32.722891
0.000000,0.000000,14.012482,0.000000,0.068110,0.446970,2.022330,0.000421,23.005311
0.000000,0.000000,9.824494,0.000000,0.044785,1.375578,1.620756,0.000309,15.329675
0.000000,0.000000,15.313974,0.000000,0.060980,1.093253,1.570147,0.000211,22.653888
0.000000,0.000000,9.081368,0.000000,0.047658,0.859866,1.490069,0.000252,15.095098
0.000000,0.000000,8.893064,0.000000,0.053830,0.811314,1.897305,0.000620,13.020081
0.000000,0.000000,8.881853,0.000000,0.045326,0.738987,3.146897,0.060065,12.298277
0.000000,0.000000,8.736439,0.000000,0.040402,0.722692,1.402282,0.000196,11.341804
0.000000,0.000000,10.124689,0.000000,0.046093,0.746435,1.751100,0.000323,12.528279
0.000000,0.000000,22.648461,0.000000,0.033674,0.967015,1.670687,0.000323,35.987607
0.000000,0.000000,21.969913,0.000000,0.035545,1.097957,1.643988,0.000246,89.093860
0.000000,0.000000,10.084979,0.000000,0.030703,0.797414,1.565265,0.000325,19.008194
0.000000,0.000000,15.691415,0.000000,0.067068,1.082050,1.593335,0.076073,22.053453
0.000000,0.000000,18.332118,0.000000,0.034044,0.768421,2.247930,0.000347,23.616519
0.000000,0.000000,9.428033,0.000000,0.032585,1.416828,1.846092,0.000348,15.953077
0.000000,0.000000,24.518618,0.000000,0.038555,1.104005,1.856738,0.000396,80.787945
0.000000,0.000000,23.632143,0.000000,0.038820,0.963168,1.795961,0.000363,62.734351
0.000000,0.000000,30.470943,0.000000,0.042082,1.018378,1.854771,0.069352,61.038918
0.000000,0.000000,23.237025,0.000000,0.038503,0.958491,2.098799,0.000281,96.620179
0.000000,0.000000,19.520040,0.000000,0.030807,1.108370,1.862898,0.000274,27.834629
0.000000,0.000000,18.171906,0.000000,0.032510,1.118069,1.717439,0.000377,22.985850
0.000000,0.000000,9.892878,0.000000,0.031638,0.937708,1.952248,0.000500,13.884487
0.000000,0.000000,9.400847,0.000000,0.031668,0.948935,1.796766,0.066993,12.990347
0.000000,0.000000,9.273340,0.000000,0.032370,0.933715,2.257684,0.000418,12.893150
0.000000,0.000000,23.744555,0.000000,0.037985,1.235549,1.962962,0.000322,90.084334
0.000000,0.000000,22.559783,0.000000,0.038561,1.112124,2.093647,0.000314,85.072071
0.000000,0.000000,10.674099,0.000000,0.031518,0.986332,2.032798,0.000283,16.708830
0.000000,0.000000,9.044205,0.000000,0.033999,0.906272,1.993389,0.065649,14.690316
0.000000,0.000000,9.116071,0.000000,0.052918,2.700755,2.564985,0.000780,14.905192
0.000000,0.000000,8.882946,0.000000,0.035582,1.199676,2.351632,0.000601,14.690422
0.000000,0.000000,33.633368,0.000000,0.041946,1.494028,2.317454,0.000551,65.873394
0.000000,0.000000,23.084695,0.000000,0.038212,1.365076,2.883909,0.000377,51.661298
0.000000,0.000000,23.331461,0.000000,0.041605,0.952164,2.226085,0.064408,85.324123
0.000000,0.000000,11.607697,0.000000,0.030187,1.950418,2.971357,0.000236,22.731024
0.000000,0.000000,10.400469,0.000000,0.068694,1.823101,2.436049,0.000301,19.441885
0.000000,0.000000,14.962077,0.000000,0.051975,1.109890,2.198130,0.000332,22.711891
0.000000,0.000000,9.312773,0.000000,0.050980,1.024693,2.312478,0.000393,15.839747
0.000000,0.000000,17.613081,0.000000,0.050702,1.147658,2.324696,0.067517,25.682435
0.000000,0.000000,22.028307,0.000000,0.067402,1.002496,2.924851,0.000939,27.190300
0.000000,0.000000,8.904460,0.000000,0.045925,0.037676,3.147947,0.016197,15.967993
0.000000,0.000000,9.039384,0.000000,0.032898,0.016247,3.592388,0.016708,19.539468
0.000000,0.000000,9.009506,0.000000,0.033292,0.016287,2.631747,0.103606,12.548060
0.000000,0.000000,8.848044,0.000000,0.033221,0.010964,3.630333,0.026784,12.326901
0.000000,0.000000,9.537287,0.000000,0.047229,0.020178,3.940772,0.022353,13.449583
0.000000,0.000000,9.214096,0.000000,0.043315,0.021223,3.205651,0.088953,13.272717
0.000000,0.000000,10.300953,0.000000,0.033139,0.031990,4.219320,0.042822,14.992489
0.000000,0.000000,9.280489,0.000000,0.033672,0.020811,3.915925,0.026464,14.316132
0.000000,0.000000,9.089620,0.000000,0.033464,0.032993,3.535782,0.095688,14.927008
0.000000,0.000000,9.113268,0.000000,0.033023,0.025394,5.954281,0.028778,13.264355
0.000000,0.000000,9.649688,0.000000,0.034258,0.027240,8.183547,0.030166,13.696417
0.000000,0.000000,9.372905,0.000000,0.032555,0.023788,3.662881,0.081068,13.893465
0.000000,0.000000,8.855062,0.000000,0.032407,0.020987,4.450847,0.056915,12.956350
0.000000,0.000000,9.304668,0.000000,0.033671,1.770005,11.077288,0.038023,16.710896
0.000000,0.000000,10.723502,0.000000,0.056446,0.022873,3.892212,0.084548,15.617925
0.000000,0.000000,9.049754,0.000000,0.034524,0.015948,5.068076,0.039268,13.291745
0.000000,0.000000,9.255011,0.000000,0.049552,0.027433,8.859964,0.029668,14.051725
0.000000,0.000000,9.286458,0.000000,0.052219,0.027062,4.259116,0.094714,13.625754
0.000000,0.000000,12.969382,0.000000,0.032793,0.025400,5.384934,0.034331,18.952372
0.000000,0.000000,10.729216,0.000000,0.042374,0.040305,6.169059,0.035355,19.181303
0.000000,0.000000,8.523054,0.000000,0.031113,0.028393,4.232795,0.107369,12.978226
0.000000,0.000000,11.361246,0.000000,0.033698,0.020506,4.928122,0.031639,15.445434
0.000000,0.000000,14.103733,0.000000,0.032649,0.027642,5.105090,0.039780,20.160276
0.000000,0.000000,8.981142,0.000000,0.031184,0.029955,6.283888,0.039944,13.361434
0.000000,0.000000,8.639528,0.000000,0.046506,0.024014,4.059192,0.094276,13.058695
0.000000,0.000000,9.084658,0.000000,0.034847,0.018922,4.736909,0.046071,14.299541
0.000000,0.000000,9.319235,0.000000,0.039694,0.079330,4.688005,0.032263,13.995784
0.000000,0.000000,9.107430,0.000000,0.031526,0.026523,6.073962,0.039638,13.463402
0.000000,0.000000,8.709791,0.000000,0.031631,0.028691,3.849063,0.089242,13.021304
0.000000,0.000000,9.691649,0.000000,0.040400,0.021575,4.836530,0.029840,14.126819
0.000000,0.000000,9.072786,0.000000,0.031315,0.022989,5.397006,0.041632,13.290281
0.000000,0.000000,10.052228,0.000000,0.038671,0.029118,6.959844,0.032401,14.806979
0.000000,0.000000,9.054079,0.000000,0.032191,0.019168,4.084893,0.116199,13.802362
0.000000,0.000000,9.203993,0.000000,0.031732,0.017219,6.148530,0.026366,13.450798
0.000000,0.000000,9.129357,0.000000,0.038810,0.028638,4.866875,0.035188,13.479528
0.000000,0.000000,9.242287,0.000000,0.034274,0.031200,4.070456,0.133658,15.840652
0.000000,0.000000,10.623136,0.000000,0.043368,0.021085,4.826854,0.026770,15.215011
0.000000,0.000000,27.438254,0.000000,0.035039,0.029026,5.010052,0.047408,31.500329
0.000000,0.000000,11.105005,0.000000,0.032950,0.024848,4.699511,0.029260,14.456210
0.000000,0.000000,8.964952,0.000000,0.031457,0.025224,4.664486,0.034242,13.288694
0.000000,0.000000,9.310289,0.000000,0.032271,0.025480,4.024508,0.092319,13.632681
0.000000,0.000000,10.192762,0.000000,0.053252,0.018880,4.762962,0.031803,10.787195
0.000000,0.000000,23.381829,0.000000,0.034427,0.020086,4.587671,0.029276,49.472936
0.000000,0.000000,20.883329,0.000000,0.038458,0.040813,4.807758,0.039954,55.442983
0.000000,0.000000,29.016512,0.000000,0.036941,0.024138,6.070224,0.028572,62.152994
0.000000,0.000000,21.097564,0.000000,0.037577,0.561744,3.729964,0.099939,52.708828
0.000000,0.000000,24.329851,0.000000,0.050308,0.018918,4.090050,0.030587,56.560396
0.000000,0.000000,21.843447,0.000000,0.039184,0.026812,6.268313,0.025600,58.087709
0.000000,0.000000,23.818657,0.000000,0.036595,0.025555,4.271121,0.037094,57.137259
0.000000,0.000000,22.810441,0.000000,0.037978,0.024393,6.527511,0.042355,55.555861
0.000000,0.000000,20.566108,0.000000,0.036559,0.022436,3.407272,0.088993,52.791003
0.000000,0.000000,21.382146,0.000000,0.038570,0.019662,4.581190,0.037408,52.636930
0.000000,0.000000,26.408505,0.000000,0.037348,0.025504,4.303497,0.031485,59.245776
0.000000,0.000000,22.644347,0.000000,0.038030,0.025437,6.173107,0.036663,57.831998
0.000000,0.000000,26.515317,0.000000,0.039247,0.037400,5.352610,0.027095,59.732623
0.000000,0.000000,20.541395,0.000000,0.039285,0.022790,3.013687,0.131886,52.706684
0.000000,0.000000,22.901170,0.000000,0.035848,0.024252,3.777391,0.027515,55.306865
0.000000,0.000000,23.918507,0.000000,0.038375,0.022279,3.818241,0.031179,56.552478
0.000000,0.000000,21.052009,0.000000,0.039812,0.017940,5.214062,0.022807,52.086961
0.000000,0.000000,21.254370,0.000000,0.039016,0.019644,3.240085,0.018374,52.294163
0.000000,0.000000,26.910324,0.000000,0.037198,0.020249,4.814141,0.026548,58.978988
0.000000,0.000000,25.106052,0.000000,0.038036,0.017658,2.333724,0.081608,59.243341
0.000000,0.000000,24.198801,0.000000,0.036898,0.019293,7.184269,0.054908,55.187103
0.000000,0.000000,22.397243,0.000000,0.037130,0.019733,3.843906,0.024827,54.526341
0.000000,0.000000,22.235162,0.000000,0.035631,0.020172,3.789592,0.025902,23.764242
0.000000,0.000000,21.256282,0.000000,0.053409,0.012973,2.374232,0.026194,23.165299
0.000000,0.000000,22.390872,0.000000,0.036991,0.016958,2.407494,0.015467,54.864886
0.000000,0.000000,23.613836,0.000000,0.037834,0.018432,3.269646,0.022806,63.308556
0.000000,0.000000,31.868166,0.000000,0.039742,0.016522,2.963935,0.112235,65.607834
0.000000,0.000000,51.465809,0.000000,0.033923,0.016634,3.078593,0.118905,85.036947
0.000000,0.000000,24.571075,0.000000,0.037374,0.015444,3.053662,0.103810,60.548765
0.000000,0.000000,22.197603,0.000000,0.038111,0.012668,3.014362,0.119814,53.344368
0.000000,0.000000,20.889590,0.000000,0.061722,0.013125,3.004053,0.109149,52.167174
0.000000,0.000000,21.165478,0.000000,0.038168,0.012410,3.050470,0.086273,53.048222
0.000000,0.000000,20.996812,0.000000,0.047000,0.016355,3.110241,0.088649,52.767966
0.000000,0.000000,20.840210,0.000000,0.038249,0.013125,2.553547,0.081400,53.683297
0.000000,0.000000,22.950536,0.000000,0.044136,0.024180,4.893672,0.027786,55.886400
0.000000,0.000000,24.805031,0.000000,0.039233,0.025097,4.315216,0.030846,57.632018
0.000000,0.000000,20.532096,0.000000,0.037377,0.022769,4.221114,0.035232,54.142058
0.000000,0.000000,21.189248,0.000000,0.042149,0.026531,4.192748,0.033536,51.746474
0.000000,0.000000,20.967006,0.000000,0.041158,0.018374,3.685573,0.103992,53.826484
0.000000,0.000000,20.499723,0.000000,0.037789,0.018598,5.010134,0.053846,52.592670
0.000000,0.000000,20.635908,0.000000,0.036138,0.031775,4.542945,0.046975,52.432075
0.000000,0.000000,23.119858,0.000000,0.039230,0.026150,8.888018,0.046821,54.537125
0.000000,0.000000,21.045942,0.000000,0.037773,0.032547,7.263585,0.102979,53.154674
0.000000,0.000000,21.522378,0.000000,0.037881,3.705443,5.638820,0.067438,53.022470
0.000000,0.000000,23.697646,0.000000,0.040268,0.034109,6.933369,0.044469,53.859890
0.000000,0.000000,20.526627,0.000000,0.037521,0.028152,5.281536,0.045728,22.069908
0.000000,0.000000,20.511393,0.000000,0.039735,0.025375,4.959557,0.039189,22.469390
0.000000,0.000000,20.905542,0.000000,0.038668,0.021294,4.266308,0.092854,52.939522
0.000000,0.000000,22.517807,0.000000,0.036347,0.017013,10.134592,0.054450,54.943686
0.000000,0.000000,22.002088,0.000000,0.041933,0.019966,5.440340,0.048104,56.045288
0.000000,0.000000,21.085630,0.000000,0.042567,0.029463,10.081783,0.049276,55.783049
0.000000,0.000000,23.393644,0.000000,0.041675,0.024477,5.426618,0.039181,54.184389
0.000000,0.000000,20.761206,0.000000,0.039377,0.023505,4.552316,0.082807,52.663703
0.000000,0.000000,20.648104,0.000000,0.038268,0.021777,6.432917,0.056951,52.129049
0.000000,0.000000,21.095066,0.000000,0.041945,0.030849,6.869751,0.051374,51.131575
0.000000,0.000000,20.649276,0.000000,0.039287,0.019887,6.188102,0.040738,50.922747
0.000000,0.000000,20.560299,0.000000,0.037030,0.046293,9.790973,0.042918,52.349954
0.000000,0.000000,24.690240,0.000000,0.039681,0.025877,5.537125,0.035526,54.452915
0.000000,0.000000,20.633410,0.000000,0.040986,0.025627,6.599598,0.079930,51.026688
0.000000,0.000000,21.412944,0.000000,0.039595,0.026504,5.130942,0.046364,56.819540
0.000000,0.000000,21.198023,0.000000,0.041136,0.021652,4.425855,0.134016,51.631450
0.000000,0.000000,26.176283,0.000000,0.038160,0.015553,5.584012,0.070237,59.153206
0.000000,0.000000,22.424206,0.000000,0.038112,0.018371,5.496706,0.027683,57.895103
0.000000,0.000000,20.726784,0.000000,0.039681,0.024097,5.004617,0.036890,51.714385
0.000000,0.000000,20.895893,0.000000,0.037590,0.023700,6.668136,0.030036,53.130338
0.000000,0.000000,20.949041,0.000000,0.039837,0.020837,6.165241,0.035502,52.699679
0.000000,0.000000,24.851436,0.000000,0.035744,0.033641,4.076488,0.092159,60.707930
0.000000,0.000000,23.101960,0.000000,0.037892,0.015647,8.732204,0.060646,55.592929
0.000000,0.000000,25.498186,0.000000,0.037229,0.018257,7.183446,0.034588,26.870722
0.000000,0.000000,22.245234,0.000000,0.038349,0.025019,6.277769,0.032250,24.169338
0.000000,0.000000,23.466454,0.000000,0.038322,0.029125,5.187964,0.034188,56.487168
0.000000,0.000000,22.310951,0.000000,0.037719,0.025334,9.285491,0.033188,57.484990
0.000000,0.000000,21.662290,0.000000,0.039182,0.023188,5.826729,0.137936,57.967738
0.000000,0.000000,20.743273,0.000000,0.037685,0.022210,6.343928,0.046282,51.979296
0.000000,0.000000,21.745234,0.000000,0.037765,0.026201,6.059436,0.033630,53.735248
0.000000,0.000000,20.400197,0.000000,0.039317,0.024679,12.966872,0.041790,54.688246
0.000000,0.000000,25.026329,0.000000,0.038371,0.024792,4.962373,0.030993,56.683911
