#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
4.902774,0.086907,16.132172,1.273594,1.273594,50.091217
0.167650,0.004888,13.635999,0.000000,0.000000,13.808902
0.187601,0.080098,7.842268,0.001537,0.001537,8.112324
0.217551,0.009457,4.450160,0.000000,0.000000,4.677389
0.076000,0.029635,4.247195,0.001235,0.001235,4.354916
0.127140,0.005305,1.137069,0.000000,0.000000,1.269850
0.064180,0.026519,1.056903,0.001107,0.001107,1.149279
0.096244,0.006494,3.618060,0.000000,0.000000,3.721256
0.062405,0.026596,3.121250,0.001326,0.001326,3.212571
0.085174,0.006422,1.626997,0.000000,0.000000,1.719021
0.072289,0.030362,1.377961,0.001376,0.001376,1.482654
0.108814,0.006658,1.585186,0.000000,0.000000,1.700933
0.101590,0.039118,1.410861,0.001075,0.001075,1.553394
4.774676,0.130926,4.473708,0.479964,0.479964,15.468493
4.258576,0.131874,4.136844,0.548126,0.548126,17.299339
4.680595,0.122074,5.321714,0.739649,0.739649,21.523448
4.644223,0.130710,5.173828,0.819356,0.819356,26.343680
3.957878,0.151676,9.141023,1.303065,1.303065,30.214000
4.507103,0.099052,6.451209,1.343847,1.343847,28.613087
4.026766,0.084901,6.346567,1.680166,1.680166,29.436010
3.850130,0.084731,6.004904,65.765146,65.765146,97.246125
4.503739,0.077315,8.840446,2.058324,2.058324,62.299241
4.910697,0.045839,10.523533,2.654902,2.654902,50.480229
6.253565,0.059773,11.860806,2.178881,2.178881,52.768482
5.862361,0.095252,12.503011,2.313729,2.313729,55.600145
6.219151,0.118380,11.429894,2.601236,2.601236,58.082455
5.973939,0.115257,16.651842,3.020580,3.020580,74.952121
7.046010,0.115918,14.509976,3.114305,3.114305,74.354846
7.152204,0.093444,14.924439,3.383991,3.383991,73.681886
5.855191,0.106624,16.238114,3.656513,3.656513,81.297118
6.972001,0.096237,17.588469,3.832091,3.832091,82.705976
7.261280,0.121067,18.092906,4.520998,4.520998,87.878090
6.899169,0.079853,18.562072,4.806697,4.806697,87.671348
6.173393,0.086298,17.077551,4.240582,4.240582,206.828433
5.403849,0.110485,18.486124,4.043295,4.043295,90.398907
5.100872,0.041032,16.592291,3.421076,3.421076,89.937840
8.614966,0.100737,17.542001,2.688017,2.688017,96.335259
5.391809,0.138890,16.723701,2.756758,2.756758,93.198404
6.820203,0.115487,16.666575,1.728294,1.728294,94.211678
4.733459,0.105216,17.249133,1.740747,1.740747,92.598412
4.928986,0.084616,17.995526,1.508711,1.508711,94.135145
4.985833,0.087697,20.001839,1.618972,1.618972,97.146861
4.745477,0.097243,21.449904,1.834283,1.834283,97.840017
4.970620,0.082762,19.956452,1.439694,1.439694,97.713360
4.569268,0.085967,22.682271,1.607504,1.607504,100.062935
4.905316,0.100957,23.914461,1.757635,1.757635,58.007500
5.238088,0.043905,24.556729,3.075214,3.075214,66.485938
5.827179,0.051394,24.770679,6.386220,6.386220,110.974213
6.432826,0.053243,26.038967,3.921258,3.921258,106.580806
6.169642,0.067263,25.876264,3.949891,3.949891,103.616515
6.400195,0.060463,26.931978,5.578948,5.578948,108.088465
6.831747,0.067176,26.527926,4.037401,4.037401,104.814387
5.933670,0.080672,22.251751,3.846192,3.846192,103.060250
5.731841,0.091671,24.504314,4.276092,4.276092,104.653468
5.206242,0.069397,26.296861,4.357706,4.357706,98.321455
5.673582,0.051547,23.553576,3.225911,3.225911,542.992595
4.926453,0.150635,29.078883,10.727111,10.727111,87.364802
5.176421,0.126286,29.471086,2.447902,2.447902,94.028300
3.442938,0.177274,16.776835,3.126858,3.126858,74.175674
2.230735,0.148277,11.640915,3.155482,3.155482,67.360760
7.976518,0.062943,24.184157,3.220330,3.220330,84.919118
5.330249,0.051165,27.868601,2.822157,2.822157,88.949783
6.832288,0.093809,31.078393,3.693166,3.693166,96.711866
7.066766,0.100018,32.209868,5.622941,5.622941,109.034648
7.008243,0.107343,27.024467,5.473099,5.473099,105.151882
6.594997,0.112196,27.871429,5.654144,5.654144,96.370041
6.290993,0.094625,27.528960,4.604707,4.604707,92.403681
6.198293,0.091728,30.542185,3.123912,3.123912,90.587027
5.322531,0.068877,27.863725,3.182427,3.182427,67.131810
4.847892,0.063243,31.170748,4.773887,4.773887,77.044225
5.098778,0.201384,24.167789,4.363694,4.363694,81.678114
4.668023,0.071069,24.341584,7.474011,7.474011,89.316391
4.958831,0.095016,26.364173,3.507747,3.507747,86.140862
3.635987,0.889480,16.481000,2.705265,2.705265,53.669438
3.378849,0.103610,10.305348,3.644913,3.644913,42.782972
0.849504,0.061292,10.745942,2.698460,2.698460,44.830207
0.923374,0.035703,6.871022,2.627461,2.627461,38.035423
2.027779,0.017400,9.098109,2.416731,2.416731,26.006636
2.913985,0.016415,13.778143,3.278604,3.278604,67.210442
3.334740,0.060304,15.101560,2.637666,2.637666,36.629742
4.474094,0.102152,21.943851,4.821926,4.821926,78.954238
5.726313,0.096804,27.688516,3.936626,3.936626,87.898525
7.076449,0.130586,28.339133,5.002857,5.002857,91.930404
7.273117,0.116558,25.874963,4.616013,4.616013,90.697567
10.354070,0.102254,27.173632,5.338560,5.338560,98.228789
7.121631,0.115773,28.349166,6.053013,6.053013,101.112989
6.491860,0.098189,26.568444,5.204231,5.204231,99.422076
6.930628,0.110786,28.726779,6.448258,6.448258,108.573642
6.910749,0.079848,31.633512,5.938681,5.938681,102.841709
7.141938,0.094877,28.474269,6.215453,6.215453,105.614650
7.722645,0.120788,27.933267,7.089461,7.089461,100.177146
8.077156,0.081990,28.489514,6.285116,6.285116,101.504945
6.810649,0.075883,27.618211,4.775323,4.775323,94.673264
5.190643,0.059678,21.601034,4.527428,4.527428,66.588048
6.778566,0.045843,25.718343,4.415383,4.415383,77.684862
7.876654,0.007221,29.141157,5.920206,5.920206,83.417193
7.161054,0.000509,24.850135,4.322012,4.322012,83.214861
7.449124,0.000501,32.091654,4.254260,4.254260,79.016482
7.304154,0.000638,30.583725,4.620301,4.620301,65.861790
7.161105,0.000667,30.315898,4.734683,4.734683,63.838849
6.815515,0.003932,30.399070,6.350017,6.350017,64.103107
